pattern_id,pattern_name_vi,pattern_description,tcm_disease_name,etiology_tcm,affected_meridians_organs,eight_principles,modern_diagnostic_findings,clinical_manifestations,data_source
SP001,Thể hàn thấp,Thường gặp trong những trường hợp đau thắt lưng do lạnh.,Đau cột thắt lưng (Yêu thống),Ngoại nhân (hàn thấp),Bàng quang,Biểu thực hàn,"Các xét nghiệm phát hiện dấu hiệu viêm, bilan phospho - calci thường trong giới hạn bình thường. Xquang thường quy bình thường hoặc có thể có các hình ảnh hẹp các khe liên đốt, gai xương ở thân đốt sống hoặc đốt sống bị lún xẹp do loãng xương.","Đau nhiều vùng thắt lưng, đau tăng khi trời lạnh, ẩm, cơ cạnh cột 
sống co cứng, ấn đau, không đỏ, sợ lạnh, rêu lưỡi trắng mỏng. Mạch phù khẩn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 8
SP002,Thể thấp nhiệt,Thường gặp trong những trường hợp đau thắt lưng do nhiễm khuẩn vùng cột sống.,Đau cột thắt lưng (Yêu thống),Ngoại nhân (thấp nhiệt),Bàng quang,Biểu thực nhiệt.,"Các xét nghiệm phát hiện dấu hiệu viêm, bilan phospho - calci thường trong giới hạn bình thường. Xquang thường quy bình thường hoặc có thể có các hình ảnh hẹp các khe liên đốt, gai xương ở thân đốt sống hoặc đốt sống bị lún xẹp do loãng xương.","Vùng thắt lưng đau kèm theo sưng nóng đỏ hoặc có cảm giác nóng 
bứt rứt, có thể sốt, chất lưỡi đỏ, rêu lưỡi vàng dầy. Mạch nhu sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 9
SP003,Thể huyết ứ,"Thường gặp trong những trường hợp đau thắt lưng do căng giãn dây chằng, thoát vị đĩa đệm cột sống thắt lưng, khối u vùng cột sống thắt lưng.",Đau cột thắt lưng (Yêu thống),Bất nội ngoại nhân,Bàng quang,Biểu thực,"Các xét nghiệm phát hiện dấu hiệu viêm, bilan phospho - calci thường trong giới hạn bình thường. Xquang thường quy bình thường hoặc có thể có các hình ảnh hẹp các khe liên đốt, gai xương ở thân đốt sống hoặc đốt sống bị lún xẹp do loãng xương.","Đau lưng xuất hiện sau khi vác nặng, lệch người hoặc sau một động tác thay đổi tư thế đột ngột, đau dữ dội ở một chỗ, cự án, vận động bị hạn chế, thay đổi tư thế thì đau tăng, chất lưỡi tím, có điểm ứ huyết. Mạch sáp",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 10
SP004,Thể can thận hư,"Thường gặp trong những trường hợp đau thắt lưng do thoái hóa cột sống thắt lưng, loãng xương, gặp ở người cao tuổi",Đau cột thắt lưng (Yêu thống),"Bất nội ngoại nhân (nội thương), ngoại nhân (phong hàn thấp).","Can thận hư, bệnh tại kinh bàng quang","Biểu lý tương kiêm, hư trung hiệp thực","Các xét nghiệm phát hiện dấu hiệu viêm, bilan phospho - calci thường trong giới hạn bình thường. Xquang thường quy bình thường hoặc có thể có các hình ảnh hẹp các khe liên đốt, gai xương ở thân đốt sống hoặc đốt sống bị lún xẹp do loãng xương.","Đau âm ỉ, chân gối yếu, lao động đau nhiều, nghỉ ngơi đau giảm ít. Trường hợp dương hư thì sắc mặt nhợt, chân tay lạnh, bụng dưới lạnh đau, sắc lưỡi nhợt. Mạch trầm tế. Nếu âm hư thì miệng họng khô, sắc mặt đỏ, lòng bàn tay bàn chân nóng, lưỡi đỏ. Mạch tế sác",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 11
SP005,Thể thận dương hư,,Đau cột thắt lưng (Yêu thống),Bất nội ngoại nhân (nội thương),Thận dương hư,"Lý, hư, hàn.","Các xét nghiệm phát hiện dấu hiệu viêm, bilan phospho - calci thường trong giới hạn bình thường. Xquang thường quy bình thường hoặc có thể có các hình ảnh hẹp các khe liên đốt, gai xương ở thân đốt sống hoặc đốt sống bị lún xẹp do loãng xương.","Vùng thắt lưng đau âm ỉ, chân gối yếu, lao động đau nhiều, nghỉ ngơi đau đỡ ít, sắc mặt nhợt, sợ lạnh, chân tay lạnh, bụng dưới lạnh, tiểu đêm, đại tiện phân nát, sắc lưỡi nhợt. Mạch trầm tế.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 12
SP006,Thể phong hàn thấp tý,,Thoái hóa khớp gối (Hạc tất phong),"Ngoại nhân (phong, hàn, thấp)","Bệnh tại khớp, cân, cơ, kinh lạc","Biểu, thực, hàn","Chẩn đoán xác định theo tiêu chuẩn chẩn đoán của Hội thấp khớp học Mỹ-ACR 
(American College of Rheumatology), 1991.
+ Có gai xương ở rìa khớp (trên Xquang).
+ Dịch khớp là dịch thoái hóa.
+ Tuổi trên 38.
+ Cứng khớp dưới 30 phút.
+ Có dấu hiệu lục cục khi cử động khớp.
-Chẩn đoán xác định khi có yếu tố 1,2,3,4 hoặc 1,2,5 hoặc 1,4,5","Sau khi nhiễm ngoại tà (phong, hàn, thấp) xuất hiện đau, sưng nề, không nóng đỏ, hạn chế vận động khớp gối một hoặc hai bên, trời lạnh ẩm đau tăng, chườm ấm đỡ đau, kèm sợ lạnh, sợ gió, không sốt, rêu lưỡi trắng nhớt. Mạch phù hoãn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 15
SP007,Thể phong hàn thấp tý kèm can thận hư,,Thoái hóa khớp gối (Hạc tất phong),"Ngoại nhân (phong, hàn, thấp), bất nội ngoại nhân (nội thương).","Can thận hư/Bệnh tại khớp, cân, cơ, kinh lạc","Biểu lý tương kiêm, hư trung hiệp thực, hàn","Chẩn đoán xác định theo tiêu chuẩn chẩn đoán của Hội thấp khớp học Mỹ-ACR 
(American College of Rheumatology), 1991.
+ Có gai xương ở rìa khớp (trên Xquang).
+ Dịch khớp là dịch thoái hóa.
+ Tuổi trên 38.
+ Cứng khớp dưới 30 phút.
+ Có dấu hiệu lục cục khi cử động khớp.
-Chẩn đoán xác định khi có yếu tố 1,2,3,4 hoặc 1,2,5 hoặc 1,4,6","Người bệnh đau mỏi khớp gối, vận động co duỗi khó khăn, có thểbiến dạng khớp. Sau khi nhiễm thêm ngoại tà (phong, hàn, thấp) xuất hiện đau tăng lên, khớp gối sưng nề, không nóng đỏ, hạn chế vận động khớp gối một hoặc hai bên, kèm đau mỏi lưng gối, ù tai, ngủ kém, rêu lưỡi trắng nhớt. Mạch trầm hoãn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 17
SP008,Thể phong thấp nhiệt kèm can thận hư,,Thoái hóa khớp gối (Hạc tất phong),"Bất nội ngoại nhân (nội thương), ngoại nhân (phong, thấp, nhiệt).","Can thận hư/bệnh tại khớp, cân, cơ, kinh lạc.","Biểu lý tương kiêm, hư trung hiệp thực, nhiệt.","Chẩn đoán xác định theo tiêu chuẩn chẩn đoán của Hội thấp khớp học Mỹ-ACR 
(American College of Rheumatology), 1991.
+ Có gai xương ở rìa khớp (trên Xquang).
+ Dịch khớp là dịch thoái hóa.
+ Tuổi trên 38.
+ Cứng khớp dưới 30 phút.
+ Có dấu hiệu lục cục khi cử động khớp.
-Chẩn đoán xác định khi có yếu tố 1,2,3,4 hoặc 1,2,5 hoặc 1,4,7","Người bệnh đau mỏi khớp gối từ lâu, vận động co duỗi khó khăn, có thể có biến dạng khớp. Đợt này xuất hiện sưng, đau, nóng hoặc đỏ, một hoặc khớp gối hai bên, đau cự án. Thường kèm theo phát sốt, sợ gió, miệng khô khát, phiền táo bứt rứt không yên. Tiểu vàng lượng ít, lưỡi đỏ, rêu vàng bẩn. Mạch hoạt sác",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 18
SP009,Thể phong thấp nhiệt,,Gout (Thống phong),Ngoại nhân và bất nội ngoại nhân,Bệnh tại cân cơ kinh lạc,"Biểu lý tương kiêm, thực nhiệt","Chẩn đoán gout theo tiêu chuẩn Bennet và Wood (1968) hoặc tiêu chuẩn ILAR/OMERACT (2000). Theo Bennet và Wood (1968): tìm thấy tinh thể natri urat trong dịch khớp hoặc trong các hạt tophi; hoặc có tối thiểu 2 trong các yếu tố gồm: tiền sử hoặc hiện tại có ≥2 đợt sưng đau một khớp với khởi phát đột ngột, đau dữ dội và khỏi hoàn toàn trong vòng 2 tuần, sưng đau khớp bàn ngón chân cái với tính chất tương tự, có hạt tophi, đáp ứng tốt với colchicin (giảm viêm, giảm đau trong 48 giờ). Theo tiêu chuẩn ILAR/OMERACT (2000): có tinh thể urat đặc trưng trong dịch khớp và/hoặc hạt tophi chứa tinh thể urat được chứng minh bằng phương pháp hóa học hoặc kính hiển vi phân cực, và/hoặc có ≥6 trong 15 biểu hiện gồm: viêm tiến triển tối đa trong vòng một ngày, có hơn một đợt viêm khớp cấp, viêm khớp một khớp, đỏ vùng khớp, sưng đau khớp bàn ngón chân cái, viêm khớp bàn ngón chân cái một bên, viêm khớp cổ chân một bên, hạt tophi nhìn thấy được, tăng acid uric trong máu, sưng đau khớp không đối xứng, nang dưới vỏ xương không có hình khuyết xương trên X-quang, cấy vi khuẩn âm tính","Sưng, nóng, đỏ, đau một hoặc nhiều khớp (đặc biệt là khớp bàn ngón chân cái), đau cự án, khởi phát thường cấp tính. Thường kèm theo phát sốt, sợ gió, miệng khô khát, phiền táo bứt rứt không yên, tiểu vàng số lượng ít, lưỡi đỏ rêu vàng bẩn. Mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 22
SP010,Thể phong hàn thấp,,Gout (Thống phong),Ngoại nhân và bất nội ngoại nhân.,Bệnh tại cân cơ kinh lạc và tỳ vị.,"Biểu lý tương kiêm, hư trung hiệp thực, hàn.","Chẩn đoán gout theo tiêu chuẩn Bennet và Wood (1968) hoặc tiêu chuẩn ILAR/OMERACT (2000). Theo Bennet và Wood (1968): tìm thấy tinh thể natri urat trong dịch khớp hoặc trong các hạt tophi; hoặc có tối thiểu 2 trong các yếu tố gồm: tiền sử hoặc hiện tại có ≥2 đợt sưng đau một khớp với khởi phát đột ngột, đau dữ dội và khỏi hoàn toàn trong vòng 2 tuần, sưng đau khớp bàn ngón chân cái với tính chất tương tự, có hạt tophi, đáp ứng tốt với colchicin (giảm viêm, giảm đau trong 48 giờ). Theo tiêu chuẩn ILAR/OMERACT (2000): có tinh thể urat đặc trưng trong dịch khớp và/hoặc hạt tophi chứa tinh thể urat được chứng minh bằng phương pháp hóa học hoặc kính hiển vi phân cực, và/hoặc có ≥6 trong 15 biểu hiện gồm: viêm tiến triển tối đa trong vòng một ngày, có hơn một đợt viêm khớp cấp, viêm khớp một khớp, đỏ vùng khớp, sưng đau khớp bàn ngón chân cái, viêm khớp bàn ngón chân cái một bên, viêm khớp cổ chân một bên, hạt tophi nhìn thấy được, tăng acid uric trong máu, sưng đau khớp không đối xứng, nang dưới vỏ xương không có hình khuyết xương trên X-quang, cấy vi khuẩn âm tính","Sưng nề, hạn chế vận động khớp, có thể có hạt lắng đọng cạnh khớp. Nếu phong tà thiên thịnh sẽ thấy đau khớp có tính chất lưu chuyển hoặc sợ gió phát sốt... Hàn tà thiên thịnh biểu hiện đau dữ dội các khớp, vị trí đau cố định, gặp lạnh đau tăng, chườm nóng dễ chịu. Thấp tà thiên thịnh sẽ có cảm giác đau bứt rứt nặng nề tại các khớp, vị trí đau thường cố định, cảm giác tê bì khó chịu trong cơ và ngoài da. Rêu lưỡi mỏng trắng hoặc trắng nhớt. Mạch huyền khẩn hoặc nhu hoãn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 24
