formula_id,formula_name_vi,formula_category,object,function,indications,usage,data_source
F001,Ma hoàng thang,Thuốc phát tán phong hàn,Người có chứng phong hàn xâm phạm vào phần biểu,"Phát tán phong hàn, bình suyễn, chỉ ho","Cảm lạnh, có cơn hen phế quản, ho","Sắc vũ hoa, uống nóng. Mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 118"
F002,Quế chi thang,Thuốc phát tán phong hàn,Người có chứng phong hàn xâm phạm vào phần biểu,"Phát tán phong hàn, thông kinh lạc","Cảm lạnh có đau thần kinh, ngoại biên","Sắc vũ hoa, uống nóng. Mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 118"
F003,,Thuốc phát tán phong hàn,Người có chứng phong hàn xâm phạm vào phần biểu,"Phát tán phong hàn, chỉ nôn","Cảm lạnh gây đầy bụng, tiêu chảy, nôn","Sắc vũ hoa, uống nóng. Mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 119"
F004,,Thuốc phát tán phong hàn,Người có chứng phong hàn xâm phạm vào phần biểu,"Phát tán phong hàn, thông kinh lạc, giảm đau","Cảm lạnh gây đau thần kinh ngoại biên, đau đầu","Sắc vũ hoa, uống nóng. Mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 119"
F005,Tang cúc ấm,Thuốc phát tán phong nhiệt,Người có chứng phong nhiệt xâm phạm vào phần biểu,"Phát tán phong nhiệt, chỉ ho","Cảm nhiệt có phát ban, ho (sởi, dị ứng, nóng, sốt phát ban...)","Hãm bằng nước sôi, uống nhiều lần trong ngày. Sắc vũ hoa, uống ấm","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 120"
F006,,Thuốc phát tán phong nhiệt,Người có chứng phong nhiệt xâm phạm vào phần biểu,"Phát tán phong nhiệt, tiêu độc","Cảm nhiệt, có dị ứng, phát ban. Mụn nhọt","Sắc vũ hoa, uống nóng. Mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 120"
F007,Ngân kiều tán,Thuốc thanh nhiệt giải độc,"Có chứng do nhiệt độc, hỏa độc gây nên: mụn nhọt, dị ứng, viêm cơ,....","Thanh nhiệt giải độc, trừ phong nhiệt","Nhiệt độc gây ra mụn nhọt, mẫn ngứa, dị ứng, ban chấn","Sắc uống. Chế bột: sao cho khô, thơm. Tán thành bột mịn, ngày uống 2-3 lần, mỗi lần 5-10g","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 120"
F008,Ngũ vị tiêu độc ẩm,Thuốc thanh nhiệt giải độc,"Có chứng do nhiệt độc, hỏa độc gây nên: mụn nhọt, dị ứng, viêm cơ,....",Thanh nhiệt giải độc,"Nhiệt độc, huyết nhiệt gây ra mụn nhọt , mẩn ngứa , viêm tuyến sữa, tắc tia sữa",Hăm bằng nước sôi hoặc sắc vũ hỏa. Uống nguội. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 121"
F009,Long đởm tả can thang,Thuốc thanh nhiệt táo thấp,"Các chứng bệnh do thấp nhiệt gây ra (thực chứng): Viêm gan virus, viêm tiết niệu thấp, hội chứng lỵ trực khuẩn, tiêu chảy cấp,...",Thanh thấp nhiệt can đởm,"Thấp nhiệt can, đởm: viêm gan virus, viêm túi mật, ứ mật vàng da, đau mắt đỏ",Chú ý: Khi khỏi bệnh thì ngừng uống,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 121-122"
F010,Cát căn cầm liên thang gia vị,Thuốc thanh nhiệt táo thấp,"Các chứng bệnh do thấp nhiệt gây ra (thực chứng): Viêm gan virus, viêm tiết niệu thấp, hội chứng lỵ trực khuẩn, tiêu chảy cấp,...",Thanh thấp nhiệt vị tràng,"Thấp nhiệt , vị tràng gây ra tiêu chảy cấp (tiêu chảy do ngộ độc thức ăn), ly trực khuẩn","Sắc văn hỏa, uống nguội. Ngày dùng 1 thang.
Chú ý: Khi hết bệnh thì ngừng dùng thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 122"
F011,Bạch thược thang gia vị,Thuốc thanh nhiệt táo thấp,"Các chứng bệnh do thấp nhiệt gây ra (thực chứng): Viêm gan virus, viêm tiết niệu thấp, hội chứng lỵ trực khuẩn, tiêu chảy cấp,...",Thanh thấp nhiệt vị tràng,"Thấp nhiệt vị tràng, hội chứng ly trực khuẩn","Sắc văn hỏa, uống nguội. Ngày dùng 1 thang.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 122"
F012,Tê giác địa hoàng thang,Thuốc thanh nhiệt lương huyết,"Các chứng bệnh do huyết nhiệt gây ra mụn nhọt, mẩn ngứa, chảy máu cam, đại tiện ra máu....",Thanh nhiệt lương huyết,"Huyết nhiệt gây ra chảy máu, sốt cao hôn mê","Tê giác: mài lấy nước
Sinh địa, bạch thược, mẫu đơn bì: sắc văn hỏa, gạn lấy nước, để nguội , trộn cùng nước mài tê giác. Uống mỗi ngày 1 thang","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 123"
F013,,Thuốc thanh nhiệt lương huyết,"Các chứng bệnh do huyết nhiệt gây ra mụn nhọt, mẩn ngứa, chảy máu cam, đại tiện ra máu....","Thanh nhiệt lương huyết, sinh tân dịch","Huyết nhiệt gây ra ban chẩn, mụn nhọt, cháy máu cam, đại tiểu tiện ra máu, khát nước","Sắc văn hỏa, uống ấm. Ngày dùng 1 thang.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 123"
F014,Tứ nghịch thang,Thuốc hồi dương cứu nghịch,"Có chứng thoát dương, vong dương (truy tim mạch)",Hồi dương cứu nghịch,Thoát dương (truy tim mạch cấp),"Sắc văn hỏa, uống nóng. Ngày dùng 1 thang, khi tim mạch ổn thì ngừng uống thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 123"
F015,,Thuốc hồi dương cứu nghịch,"Có chứng thoát dương, vong dương (truy tim mạch)",Hồi dương cứu nghịch,"Chứng thoát dương, vong dương","Sắc văn hỏa, uống nóng. Ngày dùng 1 thang, khi cơ thể ấm đều thì ngừng uống thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 123"
